name,artists,duration_ms
Facas - Ao Vivo,"['Diego & Victor Hugo', 'Bruno & Marrone']",196380
SICKO MODE,['Travis Scott'],312820
Jocelyn Flores,['XXXTENTACION'],119133
All of Me,['John Legend'],269560
Do I Wanna Know?,['Arctic Monkeys'],272394
Cupid's Chokehold / Breakfast in America,['Gym Class Heroes'],243773
Put Your Records On,['Ritt Momney'],210463
LOCATION,"['KAROL G', 'Anuel AA', 'J Balvin']",265240
Travesuras - Remix,"['Nio Garcia', 'Casper Magico', 'Ozuna', 'Wisin & Yandel', 'Myke Towers', 'Flow La Movie']",324426
Cover Me In Sunshine,"['P!nk', 'Willow Sage Hart']",141050
Wasted Love (feat. Lagique),"['Ofenbach', 'Lagique']",139563
Lemon Pepper Freestyle (feat. Rick Ross),"['Drake', 'Rick Ross']",383037
Fan de Tus Fotos,"['Nicky Jam', 'Romeo Santos']",197647
Además de Mí - Remix,"['Rusherking', 'KHEA', 'Duki', 'Maria Becerra', 'Lit Killah', 'Tiago PZK']",330040
PROBLEMA,['Daddy Yankee'],184507
Stuck with U (with Justin Bieber),"['Ariana Grande', 'Justin Bieber']",228482
Closer,"['The Chainsmokers', 'Halsey']",244960
Hayloft,['Mother Mother'],181680
Hope,['XXXTENTACION'],110886
Snowman,['Sia'],165907
Shallow,"['Lady Gaga', 'Bradley Cooper']",215733
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",218147
POPSTAR (feat. Drake),"['DJ Khaled', 'Drake']",200221
Before You Go,['Lewis Capaldi'],215107
ROXANNE,['Arizona Zervas'],163636
Clean White Noise - Loopable with no fade,"['Erik Eriksson', 'White Noise Baby Sleep', 'White Noise for Babies']",90228
Don't Start Now,['Dua Lipa'],183290
Star Shopping,['Lil Peep'],142000
Yellow,['Coldplay'],266773
Dreams - 2004 Remaster,['Fleetwood Mac'],257800
Take on Me,['a-ha'],225280
Why'd You Only Call Me When You're High?,['Arctic Monkeys'],161124
Dior,['Pop Smoke'],216387
The Nights,['Avicii'],176658
when the party's over,['Billie Eilish'],196077
If the World Was Ending - feat. Julia Michaels,"['JP Saxe', 'Julia Michaels']",208687
On The Ground,['ROSÉ'],168086
The Less I Know The Better,['Tame Impala'],216320
Starboy,"['The Weeknd', 'Daft Punk']",230453
Devil Eyes,['Hippie Sabotage'],131272
"Lemonade (feat. Gunna, Don Toliver & NAV)","['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",195429
hot girl bummer,['blackbear'],188344
La Curiosidad,"['Jay Wheeler', 'DJ Nelson', 'Myke Towers']",219048
Come & Go (with Marshmello),"['Juice WRLD', 'Marshmello']",205485
Polvo,"['Nicky Jam', 'Myke Towers']",211130
Parce (feat. Justin Quiles),"['Maluma', 'Lenny Tavárez', 'Justin Quiles']",248345
Stressed Out,['Twenty One Pilots'],202333
Electric Love,['BØRNS'],218107
Love Not War (The Tampa Beat),"['Jason Derulo', 'Nuka']",192921
Godzilla (feat. Juice WRLD),"['Eminem', 'Juice WRLD']",210800
Esquema Preferido,"['DJ Ivis', 'Tarcísio do Acordeon']",189463
Ponte Pa' Mi,['Justin Quiles'],202373
Maniac,['Conan Gray'],185773
Mood Swings (feat. Lil Tjay),"['Pop Smoke', 'Lil Tjay']",213333
Girls Like Us,['Zoe Wees'],189000
In Your Eyes,['The Weeknd'],237520
At My Worst,['Pink Sweat$'],170345
La Tóxica,['Farruko'],180520
my ex's best friend (with blackbear),"['Machine Gun Kelly', 'blackbear']",139461
Coração Na Cama,['Hugo & Guilherme'],173227
Sofia,['Clairo'],188387
ily (i love you baby) (feat. Emilee),"['Surf Mesa', 'Emilee']",176547
Say So,['Doja Cat'],237893
Hasta Abajo,"['Kevin Roldan', 'Bryant Myers', 'Lyanno']",229827
"L-Gante: Bzrp Music Sessions, Vol.38","['Bizarrap', 'L-Gante']",192348
"10,000 Hours (with Justin Bieber)","['Dan + Shay', 'Justin Bieber']",167693
On The Ground,['ROSÉ'],168086
Are You Bored Yet? (feat. Clairo),"['Wallows', 'Clairo']",178000
Tusa,"['KAROL G', 'Nicki Minaj']",200960
Every Breath You Take,['The Police'],253920
Lose Control,"['MEDUZA', 'Becky Hill', 'Goodboys']",168387
Billie Jean,['Michael Jackson'],293827
Get You The Moon (feat. Snøw),"['Kina', 'Snøw']",179080
'Till I Collapse,"['Eminem', 'Nate Dogg']",297787
Without Me,['Eminem'],290320
Mood (feat. iann dior),"['24kGoldn', 'iann dior']",140533
As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",174406
Disco Arranhado - Funk Remix,"['Malu', 'DJ Lucas Beat']",125558
Antes,"['Anuel AA', 'Ozuna']",206587
What Other People Say,"['Sam Fischer', 'Demi Lovato']",194890
Anyone,['Justin Bieber'],190779
Love Story (Taylor’s Version),['Taylor Swift'],235767
Moonlight,['XXXTENTACION'],135090
Happier,"['Marshmello', 'Bastille']",214290
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",158040
SLOW DANCING IN THE DARK,['Joji'],209274
Let Me Down Slowly,['Alec Benjamin'],169354
Falling,['Trevor Daniel'],159382
When I Was Your Man,['Bruno Mars'],213827
Can't Hold Us - feat. Ray Dalton,['Macklemore & Ryan Lewis'],258343
Locked out of Heaven,['Bruno Mars'],233478
Wake Me Up,['Avicii'],247427
No Role Modelz,['J. Cole'],292987
Photograph,['Ed Sheeran'],258987
Slumber Party (feat. Princess Nokia),"['Ashnikko', 'Princess Nokia']",178405
Machu Picchu,"['Camilo', 'Evaluna Montaner']",179005
Calling My Phone,"['Lil Tjay', '6LACK']",205458
Hawái,['Maluma'],200198
Heat Waves,['Glass Animals'],238805
BEBÉ,"['Camilo', 'El Alfa']",198707
Se Te Nota (with Guaynaa),"['Lele Pons', 'Guaynaa']",155825
Body,['Megan Thee Stallion'],171067
Life Is Good (feat. Drake),"['Future', 'Drake']",237735
Back In Blood (feat. Lil Durk),"['Pooh Shiesty', 'Lil Durk']",184490
Vida de Rico,['Camilo'],187427
Heat Waves,['Glass Animals'],238805
Dancing in My Room,['347aidan'],180139
Pumped Up Kicks,['Foster The People'],239600
willow,['Taylor Swift'],214707
Go Crazy,"['Chris Brown', 'Young Thug']",176960
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",208867
Everybody Dies In Their Nightmares,['XXXTENTACION'],95467
Thunder,['Imagine Dragons'],187147
Back In Black,['AC/DC'],255493
On Me,['Lil Baby'],135960
Don't Start Now,['Dua Lipa'],183290
Explícito,['Myke Towers'],195066
